artist,nominations,year_with_most_nominations,most_common_category,most_common_award_class
112,1,1997,Best Rap Performance By A Duo Or Group,track
2 Chainz,1,2016,Best Rap Performance,track
2+2 Plus,1,1986,"Best Jazz Vocal Performance, Duo Or Group",track
21 Savage,2,2019,Best Rap Album,album
50 Cent,1,2009,Best Rap Performance By A Duo Or Group,track
5th Dimension,7,1967,Record Of The Year,track
A .L. Hines,1,1969,Best Score From An Original Cast Show Album,album
A Bad Think,1,2019,Best Immersive Audio Album,album
A Flock Of Seagulls,1,1982,Best Rock Instrumental Performance,track
A Great Big World,1,2014,Best Pop Duo/Group Performance,track
A Taste Of Honey,1,1978,Best New Artist,artist
A.R. Rahman,1,2009,"Best Song Written For Motion Picture, Television Or Other Visual Media",track
AC/DC,1,2009,Best Hard Rock Performance,track
Aaron Neville,3,1989,Best Pop Performance By A Duo Or Group With Vocal,track
Abigail Washburn,1,2015,Best Folk Album,album
Academy Of Ancient Music,1,1995,Best Classical Vocal Performance,track
Academy Of St. Martin-In-The Fields,2,1977,Best Classical Vocal Soloist Performance,track
Academy Of St. Martin-In-The-Fields,1,1981,Best Choral Performance (Other Than Opera),track
Adam Abeshouse,1,1999,"Producer Of The Year, Classical",other
Adam Clayton,4,2005,Best Rock Song,track
Adam Stern,1,1990,Classical Producer Of The Year,other
Adele,14,2011,Best Pop Solo Performance,track
Adele Adkins,1,2013,Best Song Written For Visual Media,track
Aerosmith,4,1990,Best Rock Performance By A Duo Or Group With Vocal,track
Agnieszka Rehlis,1,2016,Best Choral Performance,track
Aida Cuevas,1,2017,Best Regional Mexican Music Album (Including Tejano),album
Aimee Mann,2,2005,Best Folk Album,album
Aino Jawo,1,2016,Best Song Written For Visual Media,track
Akademie für Alte Musik Berlin,1,2001,Best Classical Vocal Performance,track
Al Bunetta,1,1986,Best Contemporary Folk Recording,track
Al Franken,2,1996,Best Spoken Comedy Album,album
Al Green,11,1982,"Best Soul Gospel Performance, Male",track
Al Hirt,1,1963,Best Performance By An Orchestra Or Instrumentalist With Orchestra - Primarily Not Jazz Or For Dancing,track
Al Jarreau,7,1981,Best Jazz Vocal Performance,track
Alabama,2,1982,Best Country Performance By A Duo Or Group With Vocal,track
Alabama Shakes,4,2015,Best Alternative Music Album,album
Alan Copeland Singers,1,1968,"Best Contemporary Pop Performance, Chorus",track
Alan Gilbert,2,2008,Best Classical Vocal Solo,album
Alan Jackson,3,2002,Best Country Song,track
Alan Menken,5,1990,Best Song Written Specifically For A Motion Picture Or For Television,track
Alan Silvestri,2,2001,Best Instrumental Composition,other
Alanis Morissette,7,1995,Best Female Rock Vocal Performance,track
Alannah Myles,1,1990,"Best Rock Vocal Performance, Female",track
Albany Symphony,2,2013,Best Classical Instrumental Solo,other
Albany Symphony Orchestra,1,2019,Best Contemporary Classical Composition,other
Albert Collins,1,1986,Best Traditional Blues Recording,track
Albert Lee,2,2001,Best Country Instrumental Performance,track
Albertina Walker,1,1994,Best Traditional Soul Gospel Album,album
Albhy Galuten,1,1978,Producer Of The Year,other
Alejandro Sanz,4,2003,Best Latin Pop Album,album
Alessia Cara,1,2017,Best New Artist,artist
Alex Bradford,1,1972,Best Score From An Original Cast Show Album,album
Alexandre Desplat,2,2011,Best Score Soundtrack For Visual Media,other
Alfred Newman,1,1970,Best Instrumental Composition,other
Ali Farka Toure,1,1994,Best World Music Album,album
Ali Farka Touré,2,2005,Best Traditional World Music Album,album
Alicia Keys,15,2001,Best Female R&B Vocal Performance,track
Alison Brown,1,2000,Best Country Instrumental Performance,track
Alison Krauss,24,2008,Best Bluegrass Album,album
Alison Krauss And Union Station,3,2005,Best Country Album,track
All-4-One,1,1994,Best Pop Performance By A Duo Or Group With Vocal,track
Allan Sherman,1,1963,Best Comedy Performance,track
