artist,lastfm_listeners,lastfm_playcount,similar_1,similar_2,similar_3
!nvite,8030,19556,Bayleaf Manilla,Smiloh,Tentoe
#Kids,815,4431,Lullabies In Nature,Modern Children's Songs,Zouzounia TV
$affie,12512,32051,Ricki Wu,Lobby Lingu!n!,Exxecs
&ME,138173,1164546,Rampa,Adriatique,Adam Port
'Falsettos' 2016 Broadway Company,21687,487458,Anthony Rosenthal,Stephanie J. Block,Christian Borle
'Til Tuesday,219660,1689543,Missing Persons,Aimee Mann,The Motels
(DOLCH),34202,387385,Wolvennest,Frayle,Mrs. Piss
(G)I-DLE,903100,99688426,JEON SOYEON,Yuqi,MIYEON
(Hed) P.E.,82280,2788445,Primer 55,(hed) Planet Earth,Reveille
-M-,139059,2123052,La Grande Sophie,Louise Attaque,Noir Désir
04 Limited Sazabys,26136,912445,go!go!vanillas,HEY-SMITH,My Hair is Bad
1 Trait Danger,31970,1207354,Lemon Demon,Rob Cantor,Bo Burnham
10 Years,740004,15635979,Evans Blue,Chevelle,Cold
10-FEET,62579,1709464,ELLEGARDEN,ROTTENGRAFFTY,Hi-Standard
100 Blaze,10523,135873,Benash,Worms-T,HD La Relève
1019,15633,621352,65Goonz,Mista Meta,POLO65
102 Boyz,40763,1628742,,,
10cc,1240946,13150957,Godley & Creme,Electric Light Orchestra,Al Stewart
10cm,229204,4858149,Kim Kyung Hee,MeloMance,Lee Mujin
110,48961,823464,Aslı,Zardanadam,Buz
12 Stones,804791,12146798,Art of Dying,Evans Blue,Trapt
1200 Micrograms,191311,4056024,Talamasca,GMS,Electric Universe
1280 Almas,18490,342621,Pornomotora,Los Elefantes,Ultrageno
12AM,46079,458915,Always Never,Teflon Sega,Shaker
12th Planet,151959,983481,hi i'm ghost,SVDDEN DEATH,Monxx
13,140948,623233,ATLiens,11,10
13 Block,34869,2483504,KEKRA,Kaaris,Green Montana
1349,165574,5411144,Dark Funeral,Tsjuder,Marduk
13th Floor Elevators,486463,6346505,The Chocolate Watch Band,The Electric Prunes,The Seeds
163,4946,64264,Barış Kocatürk,Ryok,Henry the Lee
16BL,42230,475989,Luttrell,Aiiso,Yotto
175R,26585,388362,SHAKALABBITS,ガガガSP,Charcoal Filter
1782,44762,323742,Mephistofeles,Acid Mammoth,Electric Wizard
1788-L,40345,371680,Deathpact,Rezz,Notaker
19,55511,459679,河村隆一,GLAY,globe
1986zig,30780,903825,Montez,Tom Twers,CIVO
1988,15962,351962,Krenz,EXPO 2000,666Volvo
1991,155214,2150678,Polygon,Tsuki,Steve Hauschildt
1995,46443,842121,S-Crew,L'Entourage,Nekfeu
1PLIKÉ140,32840,2024315,Beendo Z,Ziak,Gazo
2 Best Enemies,19254,124114,Sylenth & Glitch,Scope DJ,Tuneboy
2 Blyga Läppar,9292,174141,Emil Assergård,Elov & Beny,Sofie Svensson & Dom Där
2 Brothers On The 4th Floor,213485,1805672,Cappella,2 Unlimited,Ice MC
2 minutos,65325,2207211,Flema,Attaque 77,La Polla Records
2002,187143,2641045,Deuter,Hilary Stagg,David Lanz
22 Void Beats,4362,15151,Lost Heroes,JASRXJ,TOMMYGUNNZ
220 KID,134535,934292,,,
22Gz,256283,7230477,CoachDaGhost,Bizzy Banks,Rah Swish
23Till,2870,33325,Hans & Greta,Köttgrottorna,Krymplings
24SJU,2318,44433,Aden x Asme,Asme,P.J
24kGoldn,1031742,20706450,,,
250 kg kärlek,13661,140953,Björn Rosenström,Kenneth & The Knutters,Ronny & Ragge
25th Annual Putnam County Spelling Bee Original Cast,24253,611445,Andrew Rannells,Jessie Mueller & Waitress Original Broadway Cast Ensemble,Jason Robert Brown
2Baba,13370,120707,P-Square,D'Banj,Olamide
2Pac,3701056,119356898,Thug Life,The Notorious B.I.G.,Dr. Dre
2R,5546,37989,NTNS,Ozma & DJ ART,鄭希怡
2T,19110,160619,Bielzin,PL Quest,Chris Beats Zn
2gaudy,25134,635623,637Godwin,347aidan,Biteki
2nd Grade,43254,556376,Star 99,Liquid Mike,This is Lorelei
3 Doors Down,3164694,72970726,Theory of a Deadman,Hinder,Daughtry
3 Hürel,31630,295418,Erkin Koray,Cem Karaca,Mavi Işıklar
3 Pill Morning,30628,340654,Adelitas Way,We as Human,The Veer Union
3 Steps Ahead,54046,514101,Neophyte,Diss Reaction,DJ Buzz Fuzz
3030,98235,2113907,Cynthia Luz,Cacife Clandestino,Haikaiss
31 Minutos,71046,2151703,Glup!,Los Bunkers,Los Prisioneros
311,1444681,31098184,Pepper,Slightly Stoopid,Sublime with Rome
32 Leaves,155242,1495194,Revis,Lo-Pro,Deepfield
347aidan,423236,6374015,PAPITHBK,MASN,Powfu
36 Crazyfists,465146,16654696,Ill Niño,Dry Kill Logic,40 Below Summer
38 Special,358109,3109677,Eddie Money,Billy Squier,Night Ranger
3FORCE,17232,139845,Fury Weekend,Cassetter,Lyde
3LAU,303316,3960389,Seven Lions,Gryffin,Alesso
3OH!3,1622907,40545274,Breathe Carolina,Metro Station,Millionaires
3TEETH,145351,3099647,,,
3x7 Veintiuna,2511,15784,Daniel Munoz,Ballet Folklórico Alma Chilena,Daniel Muñoz
4 Tune Fairytales,16073,94010,Critical Mass,Party Animals,DJ Paul Elstak
4*TOWN (From Disney and Pixar’s Turning Red),195942,1989900,Ross Lynch,China Anne McClain,Zac Efron
40 Below Summer,236386,2597035,Nothingface,Ünloco,Dry Kill Logic
44phantom,94029,2144212,Machine Gun Kelly,Pardyalone,VWILLZ
450,10236,142100,Armanii,Intence,Chronic Law
48th St. Collective,60079,374468,The Cooltrane Quartet,Jamie Lancaster,George White Group
4Keus Gang,9684,106977,Chily,4KEUS,RSKO
4ever Falling,19214,182616,DEADBEATTEEN,poppy tears,Sinxi
4hero,359689,4096865,Jazzanova,Tek 9,Blame
4i20,20447,109822,GroundBass,Zanon,Special M
4to28,13617,32782,Kriz Luna,Palm Terrace,Moon Ladder
4yye,2901,54368,Asme,Aden x Asme,Blizzy
5 Adım,3571,13858,Tpao Batman Orkestrası,Grup A1,L.S.D. Orkestrasi
5 Seconds of Summer,1872979,157301651,Luke Hemmings,Ashton Irwin,The Vamps
5 a Seco,130019,3838081,Paulo Novaes,Dani Black,Versos que Compomos na Estrada
50 Cent,4233561,88568044,G-Unit,Lloyd Banks,Tony Yayo
509-E,63573,674128,Sabotage,Trilha Sonora do Gueto,Ndee Naldinho
50landing,45037,1291182,brakence,heylog,Zac Greer
53 Thieves,95691,954559,Alina Baraz & Galimatias,Skinshape,MedaSin
6 Dogs,263628,7886152,,,
6091,3153,35489,Sreenath Bhasi,Sankar Sharma,K. S. Harisankar
6EJOU,24610,241737,Raxeller,Gostwork,Toxic Machinery
6ix9ine,950960,25224317,Lil Pump,Smokepurpp,Blueface
6o,41594,1028045,TheHxliday,Tom the Mail Man,7ru7h
6t6,636,1478,Fyy Vo,Germs Gad,BOY BOY
7 Minutoz,83744,5229548,MHRAP,vmz,Rodrigo Zin
7!!,133032,1988276,いきものがかり,NICO Touches the Walls,fripSide
7Horse,57674,390326,Band of Skulls,Larkin Poe,The Shouting Matches
7evin7ins,52348,504556,Chri$tian Gate$,ChrispyD,jxdn
7ru7h,49437,981017,Josh A,Promoting Sounds,KillBunk
8 Graves,94772,1819034,Unlike Pluto,Adam Jensen,Layto
8 Kalacas,6062,91623,South Central Skankers,JUST LIKE BEFORE,D-Skarados
80purppp,395895,6084127,Khalil?,ilyTOMMY,SadBoyProlific
831,26882,406163,3L,AccuseFive,まさみティー
88GLAM,224654,4944202,NAV,NAV & Metro Boomin,Rich the Kid
89ine,11176,47336,XANSEII.,9smkr,Chvnge Up
8Kays,23967,121303,Korolova,Cristoph,miss monique
8percent,107604,1419275,yung kage,22december,Shady Moon
8th Sin,12407,66508,New Project,4i20,Two Birds
9 Lazy 9,353492,3697375,Funki Porcini,TM Juke,DJ Food
91 All Stars,10460,129696,Worms-T,Titai,Legendes Industries
916frosty,77702,2102399,CONVOLK,guccihighwaters,sadeyes
92914,111807,1643876,slchld,Jeff Bernat,ADOY
9mm Parabellum Bullet,167910,6752699,THE BACK HORN,cinema staff,凛として時雨
9smkr,31563,279131,ProdBySunny,Axleh,Zrobb
:Wumpscut:,224086,11817239,Suicide Commando,Leæther Strip,Velvet Acid Christ
=LOVE,12165,723727,≠ME,STU48,AKB48
? & The Mysterians,137707,844783,The Count Five,The Chocolate Watch Band,The Shadows of Knight
A Banda Mais Bonita da Cidade,160838,3660324,Phill Veras,Leo Fressato,Banda do Mar
A Dama,20746,102759,Oh Polêmico,O Kannalha,O Poeta
A Day To Remember,1723587,122740199,Beartooth,Silverstein,We Came as Romans
A Família,11606,88654,Realidade Cruel,Facção Central,Expressão Ativa
A Feast for Kings,6628,76248,Forgetting the Memories,Darkness Divided,Mouth of the South
A Fine Frenzy,787539,17664818,Ingrid Michaelson,Anna Nalick,Erin McCarley
A Flock Of Seagulls,1084103,10689768,The Human League,The Fixx,Thompson Twins
A Forest Mighty Black,195214,2134453,Soma Sonic,The Mighty Bop,Marsmobil
A Great Big World,781152,7881028,BANNERS,American Authors,Christina Perri
A Life Once Lost,64140,1205492,Coalesce,Blood Has Been Shed,Martyr AD
A Mose,1498,11181,Limoblaze,Elikem Kofi,Oba Reengy
A Niu,1687,11451,Wakin Chau,Sky Wu,MY Astro
A Number Of Names,31397,109169,Savas Pascalidis,Mateo Murphy,System 01
A R I Z O N A,358623,5799890,Frenship,ayokay,Midnight Kids
A Rocket To The Moon,392245,9322356,The Click Five,Faber Drive,We the Kings
A Si,26057,295462,OHMYMEITING,棉子,Zhang Zhen Yue
A Skylit Drive,456460,13691709,Alesana,Blessthefall,For All Those Sleeping
A Tribe Called Quest,2186261,90240326,De La Soul,The Pharcyde,Q-Tip
A Vida Music,354,919,Canções Para Curar,Lorhann,Rivers Prayer & Soaking
A Wilhelm Scream,180550,9031682,Strung Out,No Trigger,Belvedere
A Winged Victory for the Sullen,302520,6145333,Nils Frahm,Eluvium,Ben Lukas Boysen
A$AP Rocky,2888344,262333578,A$AP Mob,Travi$ Scott,Joey Bada$$
A*S*Y*S,67636,481585,Lemane,Trym,RLGN
A-Lin,40734,1252300,田馥甄,張惠妹,徐佳瑩
A-Lusion,45083,397503,Scope DJ,Davide Sonar,Dutch Master
A-Mei Chang,46804,1535937,田馥甄,莫文蔚,蔡健雅
A-do,6022,57276,Phil Chang,Zhang Zhen Yue,Joi Chua
A. G. Cook,371825,12672504,easyFun,Thy Slaughter,Danny L Harle
A. Kanyakumari,2244,10007,Rajhesh Vaidhya,T. M. Krishna,M. S. Subbulakshmi
A.B.I,106,540,Nomadic Voice,Kalla Sha,MC Couper
A.CHAL,131164,1699025,Majid Jordan,Always Never,Black Atlass
A.M.C,47707,437352,Sota,Mefjus,Teddy Killerz
A.M.R,41985,311667,Shingo Nakamura,Vintage & Morelli,rshand
A.N.I.M.A.L.,25075,567677,Carajo,Hermética,Almafuerte
A.R. Rahman,647633,14617087,Shankar-Ehsaan-Loy,Pritam,Vishal-Shekhar
A.Skillz,23301,156268,Featurecast,A.Skillz & Krafty Kuts,BadboE
A1 x J1,164301,2593101,SwitchOTR,JBEE,ArrDee
AA Apres-Ski!,5081,23818,dj apres ski,Coolonia,Dj Mape
ABBA,3622383,140414006,Agnetha Fältskog,Frida,Boney M.
ABC,579571,5612589,Howard Jones,Thompson Twins,Heaven 17
ABC Kids,30681,297285,The Beanies,Play School,Jay Laga'aia
AC Slater,190727,1569113,Habstrakt,Valentino Khan,Curbi
AC/DC,4127945,192573313,Airbourne,Ozzy Osbourne,Motörhead
ACE COLLECTION,13606,164682,ROOKiEZ is PUNK'D,Mrs. GREEN APPLE,STEREO DIVE FOUNDATION
ACN Music.,68812,1114941,平沢進,パール兄弟,物語シリーズ
ACxDC,45058,1572867,Magrudergrind,Sex Prisoner,Coke Bust
ADK Srirascol,291,2320,,,
ADL,71089,1037440,Djonga,PrimeiraMente,Froid
AFI,1752546,75388027,Alkaline Trio,Strung Out,Bad Religion
AFK,35297,261987,MUST DIE!,Spag Heddy,Excision
AFKAP,7415,146223,Frappe Ash,Dhruv Sthetick,Muhfaad
AGA,19613,565997,謝安琪,MC 張天賦,吳雨霏
AGLORY,15598,99305,Neo Fresco,Tzafu,Assalm
AHOSHI,6848,11781,,,
AHYRE,2601,32780,,,
AI,71891,1055677,MISIA,絢香,DREAMS COME TRUE
AILEE,84735,3493914,DAVICHI,Gummy,SOYOU
AIRMANN,7964,39393,GRoost,Lega:c,Sleen Mp
AIROD,55957,422503,Farrago,Amelie Lens,Alignment
