artist,total_tracks,spotify_popularity,danceability,energy,speechiness,instrumentalness,pct_explicit_tracks,duration_min,feature_pct,spotify_track_genre,nominations,year_with_most_nominations,most_common_category,most_common_award_class,lastfm_listeners,lastfm_playcount,similar_1,similar_2,similar_3
chicago symphony orchestra,1,0.0,Low,Low,Low,Instrumental,0.0,2.73,100.0,classical,42,1979.0,Best Orchestral Performance,track,50112.0,319483.0,Wiener Philharmoniker,Berliner Philharmoniker,Владимир Федосеев
john williams,1,1.0,Medium,Low,Low,Instrumental,0.0,5.61,100.0,guitar,27,1977.0,Best Instrumental Composition,other,2034178.0,61588822.0,James Horner,Nicholas Hooper,Patrick Doyle
beyoncé,1,93.0,High,Medium,Low,Vocal,100.0,3.76,0.0,dance,24,2003.0,Best Contemporary R&B Album,track,5945625.0,558890440.0,The Carters,Destiny's Child,Chloe x Halle
stevie wonder,86,1.0,Medium,Medium,Low,Vocal,0.0,2.9118604651162787,0.0,funk,24,1973.0,"Best R&B Vocal Performance, Male",track,3464590.0,87141268.0,Marvin Gaye,"Earth, Wind & Fire",The Isley Brothers
alison krauss,5,45.4,Medium,Low,Low,Vocal,0.0,3.872,60.0,bluegrass,24,2008.0,Best Bluegrass Album,album,526311.0,5707700.0,Alison Krauss & Union Station,Robert Plant & Alison Krauss,Rosanne Cash
ray charles,9,46.888888888888886,Medium,Medium,Low,Vocal,0.0,2.9944444444444445,0.0,blues,23,2004.0,Best Rhythm & Blues Recording,track,2445946.0,36621071.0,Aretha Franklin,Otis Redding,Louis Armstrong
tony bennett,17,6.823529411764706,Medium,Medium,Low,Vocal,0.0,2.6111764705882354,88.23529411764706,jazz,22,1962.0,Best Traditional Pop Vocal Album,track,1595381.0,15981731.0,Tony Bennett & Lady Gaga,Nat King Cole,Mel Tormé
bruce springsteen,3,75.33333333333333,Medium,High,Low,Vocal,0.0,3.753333333333333,0.0,singer-songwriter,21,1994.0,Best Rock Song,track,3135782.0,120754047.0,Bruce Springsteen & The E Street Band,Tom Petty and The Heartbreakers,John Mellencamp
aretha franklin,6,24.0,Medium,Low,Low,Vocal,0.0,3.34,0.0,blues,21,1967.0,"Best R&B Vocal Performance, Female",track,2582559.0,43489170.0,Etta James,Nina Simone,Dionne Warwick
vince gill,5,0.2,Medium,Low,Low,Vocal,0.0,4.182,80.0,country,20,1992.0,Best Male Country Vocal Performance,track,213470.0,2049338.0,Patty Loveless,Travis Tritt,Clint Black
eric clapton,9,61.44444444444444,Medium,Low,Low,Vocal,0.0,4.005555555555556,22.22222222222222,blues,20,1992.0,Album Of The Year,track,3051404.0,67319820.0,B.B. King & Eric Clapton,J.J. Cale & Eric Clapton,Derek and the Dominos
quincy jones,1,1.0,High,High,Low,Vocal,0.0,6.44,100.0,disco,18,1990.0,Best Arrangement On An Instrumental,other,793707.0,6861815.0,Brothers Johnson,George Benson,The Crusaders
london symphony orchestra,2,25.5,Low,Low,Low,Instrumental,0.0,6.865,50.0,british,17,1971.0,Best Opera Recording,track,578028.0,6482686.0,Berliner Philharmoniker,The Royal Philharmonic Orchestra,Leonard Bernstein
boston symphony orchestra,2,0.0,Low,Low,Low,Instrumental,0.0,3.08,100.0,classical,17,1963.0,Best Classical Performance - Orchestra,track,42412.0,266922.0,Berliner Philharmoniker,Wiener Philharmoniker,Royal Concertgebouw Orchestra
the beatles,150,60.28666666666667,Medium,Medium,Low,Vocal,0.0,2.8762666666666665,0.6666666666666667,british,16,1967.0,Best Engineered Recording - Non-Classical,album,5702010.0,854134635.0,John Lennon,George Harrison,Paul McCartney
b.b. king,12,37.16666666666666,Medium,Medium,Low,Vocal,0.0,5.283333333333333,33.33333333333333,blues,16,1970.0,Best Traditional Blues Album,album,1229334.0,19382134.0,Albert King,Freddie King,Buddy Guy
barbra streisand,3,66.0,Medium,Low,Low,Vocal,0.0,3.99,66.66666666666666,disco,16,1963.0,"Best Vocal Performance, Female",track,857524.0,12077091.0,Liza Minnelli,Bette Midler,Diana Ross
eminem,11,82.72727272727273,High,High,Low,Vocal,100.0,5.007272727272727,45.45454545454545,hip-hop,15,2000.0,Best Rap Album,track,6967975.0,461148969.0,Bad Meets Evil,D12,Obie Trice
miles davis,2,62.0,Medium,Low,Low,Vocal,0.0,7.505000000000001,100.0,jazz,15,1996.0,Best Album Notes,track,2118260.0,72389014.0,John Coltrane,Miles Davis Quintet,Herbie Hancock
ella fitzgerald,131,4.022900763358779,Medium,Low,Low,Vocal,0.0,2.9965648854961837,15.267175572519085,blues,15,1958.0,"Best Jazz Vocal Performance, Female",track,2604661.0,48395119.0,Ella Fitzgerald & Louis Armstrong,Billie Holiday,Sarah Vaughan
michael jackson,18,49.22222222222222,Medium,Medium,Low,Vocal,0.0,4.430555555555555,11.11111111111111,soul,15,1983.0,Best Engineered Recording - Non-Classical,track,5790650.0,253752091.0,The Jacksons,The Jackson 5,Michael Jackson & Paul McCartney
alicia keys,4,76.75,Medium,Medium,Low,Vocal,0.0,3.85,0.0,soul,15,2001.0,Best Female R&B Vocal Performance,track,3638961.0,79948461.0,Mary J. Blige,Destiny's Child,Toni Braxton
george benson,8,39.5,Medium,Low,Low,Vocal,0.0,4.6925,0.0,guitar,14,1976.0,Best Pop Instrumental Performance,track,952455.0,10440752.0,Lee Ritenour,Al Jarreau,The Crusaders
béla fleck,4,23.75,Medium,Medium,Low,Instrumental,0.0,4.2425,50.0,bluegrass,14,2000.0,Best Contemporary Jazz Album,album,127525.0,1808755.0,Béla Fleck and the Flecktones,Tony Rice,Sam Bush
willie nelson,1,1.0,Medium,Low,Low,Vocal,0.0,4.01,100.0,country,14,1982.0,Best Country Song,track,1431183.0,21437746.0,Merle Haggard,Waylon Jennings,Waylon Jennings & Willie Nelson
adele,51,64.66666666666667,Medium,Low,Low,Vocal,5.88235294117647,4.412549019607843,3.92156862745098,british,14,2011.0,Best Pop Solo Performance,track,4926433.0,258258244.0,Sam Smith,Beyoncé,Daniel Merriweather
johnny cash,1,74.0,Medium,Low,Low,Vocal,0.0,3.61,0.0,country,14,1968.0,Best Country Song,track,3695502.0,142081836.0,Johnny Cash & June Carter,The Highwaymen,Bob Dylan & Johnny Cash
john legend,24,19.916666666666668,Medium,High,Low,Vocal,0.0,3.4008333333333334,4.166666666666666,soul,13,2005.0,Best Male R&B Vocal Performance,track,2838997.0,46501168.0,Anthony Hamilton,Alicia Keys,Musiq
taylor swift,11,46.36363636363637,Medium,Medium,Low,Vocal,0.0,3.857272727272728,0.0,pop,13,2009.0,Album Of The Year,track,5082541.0,2913355750.0,Gracie Abrams,Olivia Rodrigo,Sabrina Carpenter
duke ellington,4,31.0,Medium,Low,Low,Vocal,0.0,4.529999999999999,100.0,classical,13,1959.0,Best Jazz Performance By A Big Band,track,1380783.0,20847625.0,Duke Ellington & His Orchestra,Count Basie,Count Basie & His Orchestra
kendrick lamar,4,83.0,High,Medium,Low,Vocal,100.0,3.5175,50.0,hip-hop,13,2015.0,Best Rap Performance,track,4364323.0,793768905.0,"Tyler, The Creator",JID,Kanye West
bob dylan,5,68.4,Low,Low,Low,Vocal,0.0,4.026,0.0,country,13,1997.0,Album Of The Year,album,3698278.0,231570888.0,Bob Dylan and The Band,Bob Dylan & Johnny Cash,The Band
emmylou harris,2,0.0,High,Medium,Low,Vocal,0.0,2.92,0.0,country,12,1976.0,"Best Country Vocal Performance, Female",track,569331.0,7948358.0,Gram Parsons,"Dolly Parton, Linda Ronstadt & Emmylou Harris",Nanci Griffith
lady gaga,44,3.1818181818181817,Medium,High,Low,Vocal,25.0,4.121363636363636,6.8181818181818175,dance,12,2010.0,Best Song Written For Visual Media,track,6648816.0,708334233.0,Ke$ha,Madonna,Miley Cyrus
bruno mars,41,11.268292682926829,High,Medium,Low,Vocal,0.0,3.963414634146341,82.92682926829268,dance,12,2017.0,Record Of The Year,track,4401219.0,218347948.0,"Bruno Mars, Anderson .Paak, Silk Sonic",Ne-Yo,Usher
natalie cole,2,0.5,Low,Low,Low,Vocal,0.0,2.9850000000000003,0.0,jazz,12,1991.0,"Best R&B Vocal Performance, Female",track,876674.0,6299053.0,Renee Olstead,Jane Monheit,Dionne Warwick
paul mccartney,1,0.0,Medium,Medium,Low,Vocal,0.0,3.77,0.0,folk,11,2013.0,Best Arrangement Accompanying Vocalist(s),track,2856231.0,68007116.0,Wings,Paul McCartney & Wings,John Lennon
al green,4,19.5,High,Medium,Low,Vocal,0.0,3.9325,0.0,blues,11,1982.0,"Best Soul Gospel Performance, Male",track,1943671.0,29829322.0,Marvin Gaye,The Isley Brothers,Curtis Mayfield
madonna,4,19.5,High,Medium,Low,Vocal,0.0,3.305,25.0,dance,11,1998.0,Best Recording Package,track,4783175.0,268182515.0,Kylie Minogue,Britney Spears,Janet Jackson
chaka khan,7,19.0,High,High,Low,Vocal,0.0,4.261428571428572,0.0,disco,11,1983.0,"Best R&B Vocal Performance, Female",track,1074204.0,9624512.0,Rufus,Patrice Rushen,Diana Ross
herbie hancock,1,60.0,Medium,Medium,Low,Vocal,0.0,5.57,0.0,piano,11,1998.0,Best Instrumental Composition,other,1393639.0,19730913.0,Wayne Shorter,Miles Davis,Freddie Hubbard
bonnie raitt,1,65.0,Medium,Low,Low,Vocal,0.0,5.55,0.0,blues,11,1989.0,"Best Pop Vocal Performance, Female",track,717693.0,7254036.0,John Hiatt,Susan Tedeschi,Linda Ronstadt
ricky skaggs,5,32.2,Medium,High,Low,Vocal,0.0,3.08,0.0,bluegrass,11,1998.0,Best Bluegrass Album,album,99805.0,878525.0,Earl Thomas Conley,T.G. Sheppard,Steve Wariner
foo fighters,23,64.17391304347827,Medium,High,Low,Vocal,0.0,4.285652173913043,0.0,grunge,11,2011.0,Best Rock Album,track,5632883.0,296866385.0,Taylor Hawkins & The Coattail Riders,Pearl Jam,Nirvana
carrie underwood,15,9.533333333333331,Medium,High,Low,Vocal,0.0,3.636666666666667,40.0,country,10,2006.0,Best Country Song,track,1620039.0,31699860.0,Miranda Lambert,Carly Pearce,Maddie & Tae
sheryl crow,9,7.666666666666667,Medium,High,Low,Vocal,0.0,4.17,0.0,singer-songwriter,10,1994.0,Best Female Rock Vocal Performance,track,1721945.0,22192657.0,Alanis Morissette,Jewel,Shawn Colvin
santana,8,64.625,Medium,Medium,Low,Vocal,0.0,4.31125,50.0,blues,10,1999.0,Best Pop Collaboration With Vocals,track,2474048.0,42912248.0,Carlos Santana,Jeff Beck,Eric Clapton
norah jones,75,4.866666666666666,Medium,Low,Low,Vocal,0.0,3.2498666666666662,0.0,j-pop,10,2002.0,Best Female Pop Vocal Performance,track,2663672.0,83951771.0,Diana Krall,The Little Willies,Melody Gardot
roger miller,1,0.0,Medium,Low,Low,Vocal,0.0,2.47,0.0,country,10,1965.0,Best Country & Western Album,track,447668.0,3453957.0,Buck Owens,Tom T. Hall,Faron Young
mary j. blige,10,0.2,Medium,Medium,Low,Vocal,0.0,3.767,40.0,soul,9,2006.0,Best Female R&B Vocal Performance,track,2100561.0,28186457.0,Faith Evans,Monica,Toni Braxton
metallica,28,67.07142857142857,Medium,High,Low,Vocal,14.285714285714285,6.215714285714285,3.571428571428571,hard-rock,9,2008.0,Best Metal Performance,track,4393746.0,427552520.0,Megadeth,Pantera,Slayer
dolly parton,14,25.142857142857142,Medium,Medium,Low,Vocal,0.0,3.6807142857142856,64.28571428571429,country,9,1981.0,"Best Country Vocal Performance, Female",track,1991817.0,29672241.0,Porter Wagoner & Dolly Parton,Kenny Rogers & Dolly Parton,Loretta Lynn
glen campbell,3,0.0,Medium,Low,Low,Vocal,0.0,3.0866666666666664,0.0,country,8,1967.0,Album Of The Year,track,966013.0,10614302.0,Charlie Rich,Lynn Anderson,Conway Twitty
billie eilish,51,46.07843137254902,High,Low,Low,Vocal,13.725490196078432,3.281764705882353,3.92156862745098,electro,8,2019.0,Album Of The Year,album,3531163.0,626576259.0,FINNEAS,Olivia Rodrigo,Melanie Martinez
tina turner,8,57.625,Medium,Medium,Low,Vocal,0.0,4.5475,0.0,disco,8,1984.0,"Best Rock Vocal Performance, Female",track,1501779.0,17633226.0,Ike & Tina Turner,Cher,Whitney Houston
jeff beck,1,53.0,Medium,Low,Low,Instrumental,0.0,5.7,0.0,blues,8,2010.0,Best Rock Instrumental Performance,track,805862.0,10568926.0,Jeff Beck Group,"Beck, Bogert & Appice",Eric Clapton
john mayer,32,65.1875,Medium,Medium,Low,Vocal,3.125,3.946875,3.125,singer-songwriter,8,2004.0,Best Male Pop Vocal Performance,track,3376704.0,160860617.0,John Mayer Trio,Jack Johnson,Jason Mraz
lizzo,47,2.5319148936170213,High,High,Low,Vocal,65.95744680851064,3.0817021276595744,14.893617021276595,hip-hop,8,2019.0,Album Of The Year,track,1529997.0,48852513.0,Meghan Trainor,Cardi B,Iggy Azalea
buddy guy,2,43.0,Medium,Low,Low,Vocal,0.0,4.535,100.0,acoustic,8,1991.0,Best Contemporary Blues Album,album,659390.0,7625882.0,Albert King,Luther Allison,Freddie King
rubén blades,6,30.0,Medium,Medium,Low,Vocal,0.0,4.741666666666666,33.33333333333333,salsa,8,1986.0,Best Tropical Latin Performance,album,183427.0,1763817.0,Willie Colón,Héctor Lavoe,El Gran Combo
anita baker,1,42.0,Medium,Medium,Low,Vocal,0.0,5.7,0.0,jazz,8,1986.0,"Best R&B Vocal Performance, Female",track,477006.0,4532172.0,Luther Vandross,Regina Belle,Stephanie Mills
randy travis,5,12.6,Medium,Medium,Low,Vocal,0.0,3.0520000000000005,0.0,country,8,1987.0,Best Country Collaboration With Vocals,album,402532.0,4552758.0,George Strait,Travis Tritt,Clint Black
james taylor,5,0.0,Low,Low,Low,Vocal,0.0,3.652,60.0,folk,7,1997.0,"Best Pop Vocal Performance, Male",track,1328983.0,20873087.0,Jackson Browne,Paul Simon,Carly Simon
billie holiday,6,32.833333333333336,Medium,Low,Low,Vocal,0.0,3.3166666666666664,0.0,blues,7,1993.0,Best Historical Album,album,2092131.0,44072033.0,Ella Fitzgerald,Billie Holiday and Her Orchestra,Sarah Vaughan
toni braxton,3,0.0,Medium,Low,Low,Vocal,0.0,3.453333333333333,66.66666666666666,soul,7,1993.0,Best Female R&B Vocal Performance,track,1222379.0,14514910.0,Monica,Brandy,Mary J. Blige
coldplay,14,7.714285714285714,Medium,Medium,Low,Vocal,0.0,4.250714285714285,14.285714285714285,pop,7,2002.0,Best Alternative Music Album,track,7960872.0,616266596.0,Keane,Imagine Dragons,Snow Patrol
alanis morissette,2,1.0,Medium,High,Low,Vocal,50.0,4.359999999999999,0.0,singer-songwriter,7,1995.0,Best Female Rock Vocal Performance,track,2479834.0,65277506.0,Sheryl Crow,Natalie Imbruglia,Tori Amos
