artist,total_tracks,spotify_popularity,danceability,energy,speechiness,instrumentalness,pct_explicit_tracks,duration_min,feature_pct,spotify_track_genre
!nvite,2,23.0,High,Low,Low,Vocal,0.0,2.285,0.0,study
#Kids,1,34.0,Medium,Medium,Low,Instrumental,0.0,1.73,100.0,children
$affie,2,41.0,High,Low,Low,Instrumental,0.0,2.1950000000000003,50.0,study
&ME,1,50.0,High,Medium,Low,Instrumental,0.0,6.42,100.0,deep-house
'Falsettos' 2016 Broadway Company,1,30.0,Low,Low,Low,Vocal,0.0,5.14,0.0,show-tunes
'Til Tuesday,1,28.0,Medium,Medium,Low,Vocal,0.0,4.35,0.0,synth-pop
(DOLCH),1,22.0,Medium,Medium,Low,Vocal,0.0,7.2,0.0,black-metal
(G)I-DLE,3,72.0,High,High,Low,Vocal,0.0,3.1533333333333338,0.0,k-pop
(Hed) P.E.,19,24.42105263157895,Medium,High,Low,Vocal,57.89473684210527,3.7442105263157894,10.526315789473683,industrial
-M-,7,31.571428571428573,Medium,Medium,Low,Vocal,0.0,3.7857142857142856,0.0,french
04 Limited Sazabys,1,32.0,Medium,High,Low,Vocal,0.0,1.89,0.0,j-rock
1 Trait Danger,1,21.0,Medium,Medium,Moderate,Vocal,100.0,3.4,0.0,comedy
10 Years,4,43.5,Medium,High,Low,Vocal,0.0,3.6125,0.0,grunge
10-FEET,3,33.0,Medium,High,Low,Vocal,0.0,2.606666666666667,33.33333333333333,j-rock
100 Blaze,2,0.0,High,Medium,Moderate,Vocal,100.0,3.27,50.0,french
1019,1,38.0,High,Medium,Moderate,Vocal,100.0,2.11,100.0,german
102 Boyz,2,38.0,High,Medium,Low,Vocal,50.0,2.915,100.0,german
10cc,4,35.0,Medium,Medium,Low,Vocal,0.0,5.03,0.0,blues
10cm,1,61.0,Low,Medium,Low,Vocal,0.0,3.95,0.0,indie-pop
110,1,41.0,Medium,Medium,Low,Vocal,0.0,4.14,0.0,turkish
12 Stones,6,53.333333333333336,Low,High,Low,Vocal,0.0,3.4183333333333334,0.0,grunge
1200 Micrograms,3,35.666666666666664,Medium,High,Low,Instrumental,0.0,7.53,0.0,trance
1280 Almas,1,37.0,Medium,High,Low,Vocal,100.0,4.62,0.0,punk-rock
12AM,1,47.0,Medium,High,Low,Vocal,100.0,2.71,0.0,soul
12th Planet,3,44.333333333333336,Medium,High,Low,Vocal,0.0,3.3666666666666667,66.66666666666666,dub
13,1,19.0,High,High,Low,Instrumental,0.0,3.4,0.0,club
13 Block,1,32.0,High,Medium,Low,Vocal,100.0,2.85,0.0,french
1349,5,18.0,Low,High,Low,Instrumental,0.0,7.964,0.0,black-metal
13th Floor Elevators,1,54.0,Medium,High,Low,Mixed,0.0,2.45,0.0,garage
163,1,38.0,High,Medium,Low,Vocal,0.0,3.2,0.0,turkish
16BL,2,46.0,Medium,Medium,Low,Mixed,0.0,6.45,0.0,trance
175R,2,35.5,Medium,High,Low,Vocal,0.0,3.995,0.0,j-rock
1782,1,19.0,Low,Low,Low,Instrumental,0.0,5.9,0.0,heavy-metal
1788-L,1,35.0,Low,High,Low,Instrumental,0.0,3.55,100.0,club
19,4,36.25,Medium,High,Low,Vocal,0.0,4.0725,0.0,j-pop
1986zig,2,0.0,Medium,Medium,Low,Vocal,50.0,2.16,50.0,german
1988,1,35.0,Medium,Low,Low,Vocal,0.0,3.38,100.0,electronic
1991,4,43.25,Medium,High,Low,Vocal,0.0,3.4675000000000002,0.0,drum-and-bass
1995,1,33.0,Medium,Medium,Low,Vocal,0.0,4.41,0.0,french
1PLIKÉ140,2,0.0,High,Medium,Low,Vocal,100.0,3.1950000000000003,0.0,french
2 Best Enemies,1,22.0,High,Medium,Low,Instrumental,0.0,6.32,0.0,hardstyle
2 Blyga Läppar,8,40.75,Medium,High,Low,Vocal,0.0,3.38875,12.5,swedish
2 Brothers On The 4th Floor,22,25.181818181818183,Medium,High,Low,Vocal,0.0,4.179545454545455,4.545454545454546,happy
2 minutos,8,37.125,Medium,High,Low,Vocal,0.0,2.8825000000000003,0.0,punk-rock
2002,6,22.166666666666668,Low,Low,Low,Instrumental,0.0,5.454999999999999,0.0,new-age
22 Void Beats,2,37.0,Medium,High,Low,Vocal,0.0,2.37,100.0,electronic
220 KID,1,68.0,High,High,Low,Vocal,0.0,2.78,100.0,house
22Gz,15,4.733333333333333,High,High,Moderate,Vocal,100.0,2.9926666666666666,60.0,r-n-b
23Till,1,35.0,Medium,High,Low,Vocal,0.0,3.37,0.0,swedish
24SJU,1,23.0,High,Medium,Low,Vocal,100.0,1.68,0.0,goth
24kGoldn,1,83.0,High,High,Low,Vocal,100.0,2.34,100.0,pop
250 kg kärlek,2,43.5,Medium,High,Low,Vocal,0.0,2.585,100.0,swedish
25th Annual Putnam County Spelling Bee Original Cast,14,29.357142857142858,Medium,Low,Low,Vocal,0.0,2.4250000000000003,0.0,show-tunes
2Baba,1,44.0,Medium,High,Low,Vocal,0.0,4.41,0.0,dancehall
2Pac,14,72.42857142857143,High,High,Low,Vocal,100.0,4.673571428571429,42.857142857142854,funk
2R,1,23.0,Medium,Low,Low,Vocal,0.0,3.82,0.0,cantopop
2T,1,49.0,Medium,Medium,Low,Vocal,100.0,2.72,100.0,funk
2gaudy,1,51.0,High,Medium,Moderate,Vocal,100.0,2.67,0.0,sad
2nd Grade,2,21.0,Medium,High,Low,Vocal,0.0,2.455,0.0,power-pop
3 Doors Down,20,46.75,Medium,High,Low,Vocal,0.0,4.0344999999999995,15.0,grunge
3 Hürel,2,27.5,Medium,Low,Low,Vocal,0.0,4.44,0.0,psych-rock
3 Pill Morning,1,28.0,Medium,High,Low,Vocal,100.0,3.9,0.0,metalcore
3 Steps Ahead,9,20.11111111111111,Medium,High,Low,Vocal,0.0,5.232222222222223,22.22222222222222,happy
3030,9,46.22222222222222,High,Medium,Low,Vocal,0.0,3.5,22.22222222222222,brazil
31 Minutos,23,38.391304347826086,Medium,High,Low,Vocal,0.0,2.4539130434782606,34.78260869565217,latino
311,1,38.0,Medium,High,Low,Vocal,100.0,4.24,0.0,metal
32 Leaves,1,53.0,Medium,Medium,Low,Vocal,0.0,4.3,0.0,grunge
347aidan,10,61.2,High,Low,Low,Vocal,30.0,2.576,10.0,sad
36 Crazyfists,6,24.666666666666668,Medium,High,Low,Vocal,0.0,3.6616666666666666,0.0,industrial
38 Special,2,1.5,Low,High,Low,Vocal,0.0,4.65,0.0,country
3FORCE,7,25.428571428571427,Medium,High,Low,Instrumental,0.0,4.7,14.285714285714285,club
3LAU,4,39.75,Medium,High,Low,Vocal,0.0,3.2125,100.0,electronic
3OH!3,2,64.0,Medium,High,Low,Vocal,100.0,3.335,50.0,punk-rock
3TEETH,1,45.0,Medium,High,Low,Mixed,0.0,3.47,0.0,industrial
3x7 Veintiuna,1,42.0,Medium,Medium,Low,Vocal,0.0,2.44,0.0,folk
4 Tune Fairytales,3,21.333333333333332,Medium,High,Low,Mixed,0.0,4.12,0.0,happy
4*TOWN (From Disney and Pixar’s Turning Red),1,60.0,Medium,Low,Low,Vocal,0.0,3.33,100.0,disney
40 Below Summer,1,25.0,Low,High,Low,Vocal,0.0,4.46,0.0,industrial
44phantom,9,52.888888888888886,Medium,Medium,Low,Vocal,77.77777777777779,2.787777777777778,11.11111111111111,emo
450,2,30.0,Medium,Medium,Low,Vocal,0.0,2.925,50.0,dancehall
48th St. Collective,1,0.0,Medium,Low,Low,Vocal,0.0,2.85,0.0,jazz
4Keus Gang,1,32.0,Medium,Medium,Low,Vocal,0.0,3.69,0.0,french
4ever Falling,2,47.0,High,Low,Low,Vocal,50.0,3.51,50.0,emo
4hero,7,24.142857142857142,Medium,Medium,Low,Vocal,0.0,5.4071428571428575,42.857142857142854,drum-and-bass
4i20,1,44.0,Medium,Medium,Low,Mixed,0.0,5.66,100.0,trance
4to28,2,47.5,Medium,Medium,Low,Instrumental,0.0,2.65,0.0,study
4yye,1,35.0,High,Medium,Low,Vocal,100.0,2.69,100.0,swedish
5 Adım,1,37.0,Medium,Medium,Low,Vocal,0.0,3.55,0.0,turkish
5 Seconds of Summer,2,80.0,Medium,Medium,Low,Vocal,0.0,3.4000000000000004,0.0,dance
5 a Seco,2,47.0,Low,Low,Low,Vocal,0.0,3.175,50.0,mpb
50 Cent,1,83.0,High,High,Moderate,Vocal,100.0,3.22,0.0,hip-hop
509-E,2,44.5,Medium,Medium,Low,Vocal,100.0,6.96,100.0,brazil
50landing,1,46.0,Medium,Low,Low,Vocal,0.0,4.74,0.0,emo
53 Thieves,2,54.0,Medium,Medium,Low,Vocal,50.0,3.26,0.0,chill
6 Dogs,1,56.0,High,Low,Low,Vocal,0.0,1.6,0.0,emo
6091,11,32.63636363636363,Medium,Medium,Low,Vocal,0.0,2.9990909090909095,54.54545454545454,electronic
6EJOU,1,25.0,Medium,High,Low,Instrumental,0.0,5.64,0.0,techno
6ix9ine,23,61.52173913043478,High,High,Low,Vocal,100.0,2.6278260869565218,56.52173913043478,emo
6o,1,46.0,Medium,Medium,Low,Vocal,100.0,2.03,0.0,emo
6t6,6,33.0,High,Medium,Low,Vocal,50.0,2.6799999999999997,83.33333333333334,dancehall
7 Minutoz,15,43.4,Medium,High,Low,Vocal,20.0,3.8126666666666664,13.333333333333334,r-n-b
7!!,2,59.0,Low,Medium,Low,Vocal,0.0,4.77,0.0,anime
7Horse,1,51.0,Low,High,Low,Vocal,0.0,3.69,0.0,blues
7evin7ins,1,56.0,Medium,Medium,Moderate,Vocal,100.0,1.8,0.0,sad
7ru7h,1,48.0,Medium,Medium,Low,Vocal,100.0,2.9,0.0,emo
8 Graves,1,54.0,Medium,High,Low,Vocal,0.0,3.62,0.0,blues
8 Kalacas,2,31.5,Low,High,Low,Vocal,50.0,3.705,0.0,ska
80purppp,3,67.33333333333333,High,Low,Low,Vocal,66.66666666666666,1.93,0.0,chill
831,1,63.0,Medium,Medium,Low,Vocal,0.0,4.0,0.0,mandopop
88GLAM,1,63.0,High,Medium,Low,Vocal,100.0,3.01,0.0,soul
89ine,1,45.0,Medium,Low,Low,Vocal,0.0,3.6,0.0,chill
8Kays,1,50.0,High,Medium,Low,Instrumental,0.0,3.94,100.0,electronic
8percent,1,66.0,High,Low,Low,Vocal,0.0,1.46,0.0,chill
8th Sin,1,42.0,High,Medium,Low,Mixed,0.0,6.58,100.0,trance
9 Lazy 9,3,50.0,Medium,Medium,Low,Instrumental,0.0,3.4499999999999997,0.0,trip-hop
91 All Stars,1,34.0,High,High,Low,Vocal,0.0,3.48,100.0,french
916frosty,4,51.5,Medium,Medium,Low,Vocal,100.0,4.1225000000000005,25.0,emo
92914,1,61.0,High,Low,Low,Vocal,0.0,5.81,0.0,chill
9mm Parabellum Bullet,5,12.0,Low,High,Low,Vocal,0.0,2.8760000000000003,0.0,hard-rock
9smkr,1,47.0,High,Low,Low,Mixed,0.0,0.96,100.0,sad
:Wumpscut:,1,20.0,Medium,High,Low,Mixed,0.0,4.69,0.0,industrial
=LOVE,33,29.818181818181817,Medium,High,Low,Vocal,0.0,4.149393939393939,0.0,j-idol
? & The Mysterians,1,40.0,Medium,Medium,Low,Vocal,0.0,2.95,0.0,garage
A Banda Mais Bonita da Cidade,1,41.0,Low,Low,Low,Vocal,0.0,3.8,0.0,mpb
A Dama,1,54.0,High,Medium,Low,Vocal,100.0,1.88,0.0,pagode
A Day To Remember,22,43.31818181818182,Low,High,Low,Vocal,31.818181818181817,3.5900000000000003,0.0,metalcore
A Família,2,45.5,High,High,Low,Vocal,100.0,6.975,0.0,brazil
A Feast for Kings,1,23.0,Medium,High,Low,Vocal,0.0,4.82,0.0,metalcore
A Fine Frenzy,1,57.0,Medium,Low,Low,Vocal,0.0,4.48,0.0,acoustic
A Flock Of Seagulls,7,44.285714285714285,Medium,High,Low,Instrumental,0.0,3.988571428571429,0.0,synth-pop
A Forest Mighty Black,2,32.5,Medium,High,Low,Instrumental,0.0,4.720000000000001,0.0,trip-hop
A Great Big World,12,54.75,Medium,Low,Low,Vocal,0.0,3.7566666666666664,41.66666666666667,acoustic
A Life Once Lost,1,23.0,Medium,High,Low,Mixed,0.0,3.32,0.0,death-metal
A Mose,4,17.75,High,Medium,Low,Vocal,0.0,2.7975,75.0,afrobeat
A Niu,1,26.0,Medium,Low,Low,Vocal,0.0,2.67,0.0,mandopop
A Number Of Names,4,12.25,High,Medium,Low,Instrumental,0.0,4.9375,0.0,detroit-techno
A R I Z O N A,1,0.0,Medium,Medium,Low,Vocal,0.0,3.04,0.0,indie-pop
A Rocket To The Moon,6,51.666666666666664,Medium,Medium,Low,Vocal,0.0,3.4499999999999997,0.0,emo
A Si,3,52.0,Medium,Medium,Low,Vocal,0.0,3.8766666666666665,33.33333333333333,mandopop
A Skylit Drive,2,26.0,Low,High,Low,Vocal,0.0,3.245,0.0,metalcore
A Tribe Called Quest,3,67.66666666666667,High,Medium,Low,Vocal,0.0,3.856666666666667,0.0,hardcore
A Vida Music,2,38.5,Medium,Low,Low,Vocal,0.0,2.65,0.0,gospel
A Wilhelm Scream,3,30.333333333333332,Low,High,Low,Vocal,100.0,3.706666666666667,0.0,hardcore
A Winged Victory for the Sullen,1,59.0,Low,Low,Low,Instrumental,0.0,1.5,100.0,ambient
A$AP Rocky,1,82.0,High,Medium,Low,Vocal,100.0,3.42,100.0,hip-hop
A*S*Y*S,3,47.333333333333336,High,High,Low,Instrumental,0.0,6.71,66.66666666666666,techno
A-Lin,9,46.0,Low,Low,Low,Vocal,0.0,4.477777777777778,0.0,mandopop
A-Lusion,4,20.0,Medium,High,Low,Mixed,0.0,4.1425,50.0,hardstyle
A-Mei Chang,7,53.714285714285715,Medium,Low,Low,Vocal,0.0,4.724285714285714,0.0,mandopop
A-do,2,39.5,Medium,Medium,Low,Vocal,0.0,3.82,0.0,mandopop
A. G. Cook,4,40.25,Medium,Medium,Low,Vocal,0.0,2.8674999999999997,25.0,club
A. Kanyakumari,1,43.0,Low,Low,Low,Vocal,0.0,2.04,100.0,classical
A.B.I,1,18.0,High,Medium,Low,Vocal,0.0,3.32,0.0,malay
A.CHAL,1,61.0,High,Medium,Low,Vocal,100.0,2.75,0.0,soul
A.M.C,9,23.0,Medium,High,Low,Instrumental,0.0,4.503333333333334,22.22222222222222,drum-and-bass
A.M.R,2,51.5,Medium,Medium,Low,Instrumental,0.0,3.95,50.0,electronic
A.N.I.M.A.L.,26,22.53846153846154,Medium,High,Low,Vocal,0.0,3.5546153846153845,88.46153846153845,heavy-metal
A.R. Rahman,71,62.478873239436616,Medium,Medium,Low,Vocal,0.0,4.705211267605634,90.14084507042254,pop-film
